date,tsla_goldstein,tsla_event_count,tsla_article_weighted_tone,ev_goldstein,ev_event_count,ev_article_weighted_tone,macro_goldstein,macro_event_count,macro_article_weighted_tone,finbert ev_sentiment_label,finbert macro_sentiment_label,finbert tsla_sentiment_label,finbert ev_sentiment_score,finbert macro_sentiment_score,finbert tsla_sentiment_score,Close,High,Low,Open,Volume,Daily Return,Daily Volatility
2024-06-04,1.1516666666666668,60,-1.5624536448919073,2.963636363636363,11,0.2169494575151728,1.885714285714286,21,-1.0498318135470803,neutral,neutral,neutral,0.9052513837814332,0.776272177696228,0.5217504501342773,174.77000427246094,177.75999450683594,174.0,174.77999877929688,60056300.0,-0.0086220946823953,0.016368874852543
2024-06-05,2.5603448275862064,58,-0.9597165979681216,2.2045454545454546,44,0.4553256352214701,-0.1831168831168833,77,-2.563135731812805,neutral,negative,neutral,0.7287916541099548,0.8884927034378052,0.9439346194267272,175.0,176.14999389648438,172.1300048828125,175.35000610351562,57953800.0,0.0013159908560766,0.0094329363943978
2024-06-06,-0.4051282051282051,39,-1.883586192985603,1.1875000000000002,32,-1.2535972832007107,1.0702127659574467,47,0.2504100625177686,negative,neutral,negative,0.9059329032897948,0.8918291926383972,0.5368427634239197,177.94000244140625,179.72999572753906,172.72999572753906,174.60000610351562,69887000.0,0.0168000139508928,0.010768776677183
2024-06-07,1.110447761194029,134,-0.79988236541168,3.9722222222222214,36,0.4972042009922217,1.511111111111111,18,-3.1728458555530885,neutral,neutral,neutral,0.6157790422439575,0.8411648273468018,0.6728981733322144,177.47999572753906,179.35000610351562,175.5800018310547,176.1300048828125,56244900.0,-0.0025851787543875,0.0107332782014044
2024-06-10,0.9447761194029848,67,-0.7535260601576941,-1.6800000000000002,5,-1.5047671810269516,1.988888888888889,27,-1.6263958697775134,neutral,negative,negative,0.4416776001453399,0.963753879070282,0.8174154758453369,173.7899932861328,178.57000732421875,173.1699981689453,176.05999755859375,50774600.0,-0.0207910893071634,0.0115674056655647
2024-06-11,0.6849624060150377,133,-1.2921460021304838,1.0799999999999998,15,-1.2007017320383313,1.9175257731958757,97,-0.892792715215788,negative,positive,neutral,0.9691006541252136,0.5746058225631714,0.6233514547348022,170.66000366210938,174.75,167.41000366210938,173.9199981689453,64761900.0,-0.018010183238054,0.0127235835996982
2024-06-12,0.7599999999999999,185,-1.2905695701206317,1.38,20,-1.6184262632517403,-2.095238095238095,42,-3.1382666510214587,neutral,negative,positive,0.917071521282196,0.9339635968208312,0.7246647477149963,177.2899932861328,180.5500030517578,169.8000030517578,171.1199951171875,90389400.0,0.0388491121630947,0.0209124052732632
2024-06-13,0.9854368932038836,515,-0.2150621958584528,2.447619047619048,21,-3.041167000847799,0.1272727272727278,66,-4.298495907929761,neutral,neutral,neutral,0.9371978640556335,0.8578072786331177,0.8974195718765259,182.47000122070312,191.0800018310547,181.22999572753903,188.38999938964844,118984100.0,0.0292177118322192,0.0228164637611554
2024-06-14,0.662639821029083,447,0.3463895849637528,3.12,40,-0.1369413211815895,1.4882352941176469,34,-1.342740809805959,neutral,neutral,neutral,0.8162497282028198,0.8610844612121582,0.9190604090690612,178.00999450683594,186.0,176.9199981689453,185.8000030517578,82038200.0,-0.0244424107197361,0.0256714548526998
2024-06-17,0.2895522388059702,67,-0.986681582801954,4.083333333333333,6,-1.2228944730935576,0.975438596491228,57,0.8241437878814555,neutral,neutral,neutral,0.9416029453277588,0.8856605291366577,0.6208677887916565,187.44000244140625,188.80999755859375,177.0,177.9199981689453,109786100.0,0.0529745981999238,0.0318708262569928
